sentence1	sentence2	sem	syn	morph	lex
"On the other hand, the Hungarian Foreign Minister Peter Szijjarto led his country's border with Serbia after the barbed telden to stop the flow of immigrants to this country, along the border with Romania, which is also planning to attract barbed wire."	"Meanwhile, Hungarian Foreign Minister Peter Szijjarto said his country is also planning to build a razor-wire fence along part of its border with Romania to stop the flow of migrants through the country, now that it has finished a fence on the Serbian border."	-0.224965401	0.772727273	0.990040967	0.574468085
"In the program's absence, similar Porte remarkable. They need more especiaily men to open up, and you're at the top 15 year suicide rates among young men at a time like this."	"The absence of similar portrayals in shows is glaring, particularly given how the need for men to open up is more desperate now than ever, with suicide rates amongst young males at 15 year high."	-0.252434242	0.724637681	0.980113753	0.473684211
"Police woman uses on a daily basis ""Potenay"" says investigating whether the drug has a role in the death."	"The police are now investigating whether the medicine she used daily, ""Potenay"", played any role in her death."	0.177870772	0.702702703	0.950482017	0.47826087
"In a qualifying match played in difficult afternoon in Cincinnati, allocating twice by the referee and rival Ryan Harrison file Harrison, Kokkinakis has issued the following statement: ""Wawrinka, kyrgios came upon the boy that I have to go on."""	"In a fiery qualifying match in Cincinnati soon after, Kokkinakis and his opponent Ryan Harrison twice had to be separated by the chair umpire, with Harrison declaring: ""Wawrinka should've decked Kyrgios, and I should deck that kid."""	-0.211420949	0.701298701	0.982502021	0.54334604
Warburton's January transfers demureness	Warburton wary of January transfers	-0.520498808	0.8	0.907744778	0.6
"Can dundar of journalists imprisoned in the hall, and the Virtues of roses, featuring photos by ""not unless you since you well, how out of the dark into the light of interest with banners reading"" Kurdish, Turkish, and in English, ""peace"" banners of the attention."	"The banner with photos of the arrested journalists Can Dündar and Erdem Gül and the text ""If I don't burn, if you don't burn, if we don't burn, how will the light vanquish the darkness?"", and the banner of ""Peace"" in English, Turkish and Kurdish attracted attention in the hall."	-0.379582881	0.714285714	0.972697332	0.5
Rights issue of Glencore's stock prices in the stock Exchange in the early hours of London Wednesday morning.	The rights issue sent Glencore's share price soaring to the top of the London stock market in early morning deals on Wednesday.	0.254641563	0.80952381	0.978141891	0.541666667
Rights issue Wednesday morning was caused by Glencore's share price to rise early in the morning on the London Stock Exchange.	The rights issue sent Glencore's share price soaring to the top of the London stock market in early morning deals on Wednesday.	0.282938159	0.755555556	0.985136074	0.625
Veteranlar champion Fenerbahce!	Veterans Champions Fenerbahçe!	1.033598092	1	0.965249594	0.25
"Maybe a meteor. """	Maybe a meteor.	1.576036338	1	1	0.5
"Who won his last 4 matches in the league ahead of the super black-and-white team beat mersin idmanyurdu in front of her fans and to increase its winning streak to 5 matches, but also to continue its leadership."	"Winning the last 4 matches before the Super League's mid-season break, the white-black team wants to both increase its winning series to 5 matches and maintain its lead by beating Mersin İdman Yurdu in front of their supporters."	-0.196628084	0.716049383	0.980173296	0.487804878
"Maybe get my license and they need to throw me out, but I have no doubt that what I am saying what I think of them."	Maybe they need to take my licence off me and push me away and I've got no doubt what I'm saying now might make them think about that.	0.107153791	0.678571429	0.978253866	0.548387097
The Argentine winger to PSG in last month was transferred from Manchester United player and Marco verad was seen as a higher level in Europe will bring the rest of the far corner of the defense koşup Johan Wiland malmo cake with good geçerken anybody who thinks that sent the netting showed that it's not wrong.	"The Argentina winger was labelled as the man to take PSG to the next level in Europe when he was signed from Manchester United last month, and he indicated why as he ran onto Marco Verratti's pass in behind the Malmo defence before angling a beautiful finish past Johan Wiland and into the far corner of the net."	-0.309332205	0.75862069	0.983301443	0.491803279
"2014 as the largest cause of cost cuts, $115 in the summer of lost 1.5 years and 70 per cent in value, the report showed the price of oil, which fell to its lowest level in 12 years as """" budgets in a dramatic way, the company has been narrowed, the report reads."	"The report showing that the biggest reason for the price drop is that oil prices have fallen from their 2014 level of 115 dollars to their lowest level in the last 12 years, losing more than 70 percent of their value in 1.5 years, includes the statement that ""company budgets have dramatically shrunk""."	-0.010761917	0.635514019	0.97360147	0.474795393
"Posted By: Robert Steiner, Chief City Correspondent Of The Daily Mail"	"By Rupert Steiner, Chief City Correspondent for the Daily Mail"	1.076734263	0.952380952	0.972759595	0.606365759
Defnedildi to his hometown of Mersin.	She was buried in her hometown Mersin.	-0.640781996	0.769230769	0.841215553	0.375
Some recent survey shows that real estate here is not only the transient of the Emperor got the results:	Here are some recent poll numbers that suggest that the real estate mogul isn't just a passing phase:	-0.038229125	0.736842105	0.964271194	0.35
"A new study conducted by Jama surgery obesity surgery expert who wrote the article and according to Dr. Robin Blackstone, ""it takes a long time to manifest itself in the death rate."""	"""The mortality data take a long time to show up,"" said Dr. Robin Blackstone, a weight loss surgery expert who wrote an editorial on the new study in JAMA Surgery."	0.045583048	0.774193548	0.981081796	0.527566418
"For the new study, conducted after the surgery in the Jama article, he wrote, and an expert on obesity surgery, according to Dr. Robin Blackstone ""mortality rates takes a long time to clear itself."""	"""The mortality data take a long time to show up,"" said Dr. Robin Blackstone, a weight loss surgery expert who wrote an editorial on the new study in JAMA Surgery."	0.35265425	0.6875	0.986393313	0.529546563
"Jama, who wrote the article in the new study, conducted on the surgery and the death rate, according to an expert on obesity surgery, Dr. Robin Blackstone """" takes a long time."	"""The mortality data take a long time to show up,"" said Dr. Robin Blackstone, a weight loss surgery expert who wrote an editorial on the new study in JAMA Surgery."	0.330524085	0.68852459	0.985665269	0.576938333
Metcash's IGA stores in South Australia and Western Australia is trying to protect a saldırısından were sentenced.	Metcash is trying to protect its IGA stores from an Aldi onslaught in South Australia and Western Australia.	-0.253336164	0.722222222	0.984378199	0.736842105
"Bolu Abant İzzet Baysal University Faculty of Arts 2, 1 Faculty of Economics and Administrative Sciences from academics at the university searched houses and rooms."	BOLU: A search was conducted of the houses and university offices of 2 academics from the Science and Literature Faculty and 1 academic from the Faculty of Economics and Administrative Sciences from Abant İzzet Baysal University.	-0.457979381	0.754098361	0.986210653	0.552631579
"Next week, will visit London, Prime Minister Ahmet Davutoglu's expression of support for the freedom of the press is one of the few who are members of the government, said the dönüşmediği action of this remark."	"It was underlined that Prime Minister Ahmet Davutoğlu, visiting London next week, is one of the cabinet members expressing his support for press freedom, but it was stated that these remarks were not followed through."	-0.317280516	0.75	0.961181026	0.438466468
Kate moss is the biggest name in the industry of fashion but also kivrim zero.	Kate Moss is not curvy either but she became the biggest name in the fashion industry.	-0.20621249	0.838709677	0.958611939	0.647058824
Renzo juncker hinted that played to the public.	Juncker implied that Renzi plays to internal public opinion.	-0.580003506	0.823529412	0.964562319	0.4
It's time to wrap the wounds.	This is a day of healing.	-0.478304921	0.923076923	0.888457089	0.1238397
Holiday and Leisure Plan:	Vacation and Hobby Plans:	1.133704522	0.75	0.948702014	0.4
Come as reserve team game döndürücü Zafar Ansari and surprised me as an impressive young man in my limited talks with him.	"Zafar Ansari comes into the squad as back-up spinner and, in my limited dealings with him, he has struck me as very impressive young man."	-0.23610671	0.708333333	0.976862535	0.535714286
"The health of the global economy is Fed's priority list of concerns isn't one, so technically should not be a factor in the process of getting black."	"The health of the global economy isn't one of the Fed's primary concerns, so technically it shouldn't be factored into its decision-making."	0.160239119	0.8	0.982778751	0.638743227
"To keep the Tok kefir, which also features at the same time, also aldırmaz kilos."	"In addition, having the feature of feeling full, kefir does not make you gain weight."	-0.841240202	0.866666667	0.95221083	0.277777778
According to the Tennis Australia chief Steve Healy Thanasi Kokkinakis friend Nick Kyrgios environmental situation in the snatch by accidentally damaged in recent storms and deserve more praise than criticism.	"Thanasi Kokkinakis has been the collateral damage in the recent storm around his friend Nick Kyrgios and deserves kudos rather than criticism for his own behaviour, according to Tennis Australia president Steve Healy."	-0.416091442	0.761904762	0.977439455	0.514285714
"According to tennis Australia President Steve Healy, Thanasi Kokkinakis Nick Kyrgios in the last storm was the injured party in an accident around breakaway friend, and deserves more praise than criticism."	"Thanasi Kokkinakis has been the collateral damage in the recent storm around his friend Nick Kyrgios and deserves kudos rather than criticism for his own behaviour, according to Tennis Australia president Steve Healy."	-0.388234833	0.75	0.984125727	0.571428571
"McKee and Capewell, sponsors of the meeting, one of the previous general manager, an independent research for receiving funds from British American Tobacco reported that in the name of the EuroSwiss Health, a company, he said."	"McKee and Capewell said one sponsor of the meeting was a company called EuroSwiss Health, whose chief executive was reported to have previously received funding from British American Tobacco for an independent study."	-0.167752261	0.782608696	0.978378182	0.514630759
"About Dr. Eda Erdener BİNGÖL: The Literature Faculty of Science at the University of Bingol, Professor Yrd. Administrative investigation is under way."	"BİNGÖL: A member of the Science and Literature Faculty of Bingöl University, Assistant Prof. Dr. Eda Erdener was reported to have had an administrative investigation opened against her."	-0.07924085	0.72	0.973137741	0.483870968
"Twitter users ""MrPooni's Matt Damon is the only black person in the room, he spoke about the diversity of the people on the white"", painful as it can to cut down the anger, he said."	"Twitter user MrPooni expressed anger toward the clip writing, ""Matt Damon speaking over the only black person in the room so he can explain diversity to her is SO WHITE it hurts."""	-0.28518832	0.705882353	0.970202383	0.540807769
"Neilson, Hearts and broke the team's punishment for SUV's struggle against Warburton's demureness and sign in January"	Hearts to fight SFA over Neilson charge and Warburton wary of January signings disrupting squad unity	-0.557478022	0.611111111	0.933538739	0.228629884
"He calls the Twitter, the leader of the ""no one in this central resources, the content of the talks in Istanbul MP Ali Ozcan öğrenilebilir"" message."	"Ince shared a message on Twitter, ""No matter who they are, the sources from the central office can get the details of the conversation from the Istanbul deputy Ali Özcan""."	-0.591298435	0.785714286	0.969237476	0.457142857
And to answer them and to write to us with the advice of a productive session sınava hazırlanan friends introductions.	"Firstly, lets introduce our article with both the answers to these questions and some advice to those who are preparing for the exam in order to spend the time efficiently."	-0.564733743	0.64	0.954079594	0.25
What happens when the Fed increase interest rates?	Here's what will happen when the Fed raises interest rates	0.788360495	0.842105263	0.947743445	0.454545455
Izmir'de October 1982 while working her husband was due to kezzap ordering.	"In October 1982 while working in İzmir, acid was thrown in her face under the orders of her husband."	-0.767351722	0.75	0.946820601	0.380952381
"This 12 months, Scotland Job Corps in the employment market, and we have seen a decline in unemployment and the developments."	In those 12 months we have seen further improvements in the Scottish Labour market with employment increasing and unemployment falling.	0.164557291	0.780487805	0.960447028	0.4953588
"But if You do not, Wood who should get the last laugh? """" who would win the hearts of their answers to the questions, The Bachelor may be related to the information."	"However when asked the question, ""If not you, who should get Wood's final rose?,"" their answers could have provided a spoiler as to who won the Bachelors heart."	-0.307355199	0.733333333	0.97989455	0.459285448
"Jeff van der Eems, Britain will be responsible for one of the continents and in Africa."	"Jeff van der Eems will be responsible for the United Kingdom, Continental Europe and Africa."	-0.108876718	0.838709677	0.976265864	0.721020639
"""Sometimes return from an injury to strengthen your body, you can live a vulnerable to injury during the period, and Wenger"", a process that you want to win the fight."	"""Sometimes, when you are coming back from an injury, you have a vulnerable period, a time when you need to strengthen your body and gain competition,"" said Wenger."	-0.026813369	0.689655172	0.987137131	0.610866379
Champion football player Ben Cousins slap provides a permanent model.	Champion footballer Ben Cousins provides a memorable example.	0.077462819	0.888888889	0.956087552	0.533824935
"Amy's very seviyordum so far, and that he was the only one who told me."	I loved Amy and she is the only person who ever loved me.	-0.901093773	0.75862069	0.962734209	0.375738647
Brazil's Rio Grande during the Caliphate State Emzirme Pediatri encourages healthy beslenmeyi	Brazil's Pediatric Society of Rio Grande Promotes Healthy Breastfeeding Diets	-0.727572914	0.833333333	0.948290973	0.303182879
"Signatures to academics who have been taken into custody because of the investigation, and started to be removed from office."	"Subject to investigations because of the signatures they put, the academics started to be taken into custody and dismissed from their posts."	0.242590018	0.714285714	0.98805255	0.625
"In powerline, London Underground font and turning the brand into the tank using the DLR line ""Important announcement, you're about to travel on 15-18 September dlr?"" says."	"""Important announcement, Travelling on the DLR from 15th to 18th September?"" reads one, using London Underground fonts and branding with the DLR line turning into the image of a tank."	-0.495695566	0.711864407	0.981966526	0.638888889
"Metcash, Mr. Douglass refused to give a response to the comments."	Metcash has declined to respond publicly to Mr Douglass' comments.	0.491406623	0.857142857	0.929642894	0.460022207
"I was shot in Joburg, homeless young people to the suburbs and the snapshot of the revenue from the teaching to non profit a studio."	"""I was shot in Joburg"" is a non-profit studio that teaches homeless youngsters how to take photographs of their neighbourhood and make a profit from it."	-0.527174582	0.730769231	0.97209382	0.482758621
"Dutch Foreign Minister Bert Koenders, Syrian President Bashar al-Assad to the International Criminal Court in The Hague (ICC) said he should be tried."	"The Minister of Foreign Affairs of the Netherlands, Bert Koenders, stated that the Syrian President Bashar al-Assad should be tried in the International Criminal Court (ICC) in the Hague."	0.024453145	0.777777778	0.988133167	0.676470588
As long as we see the persistent upward movement in oil price of 32-33 dollars above description may be limited and may increase downward pressure.	"As long as we do not see any permanent pricing above the 32-33 dollar-level, the upward movement of oil prices may remain limited and the downward pressure on prices may increase."	-0.104402112	0.745762712	0.980967903	0.606060606
"Amid the ouster said, a few days ago on the ceiling of a vincin mescidin hacıların destroyed a painful mass crossed the holy site."	"The sad possession passed by the holy site, where just days earlier a construction crane crashed through the ceiling of the mosque and toppled onto worshipers."	-0.502612938	0.76	0.963530952	0.392857143
"Related issues göçmenlikle Cumhuriyetçiden six out of 10, according to a new ABC / Post poll on Monday, however, says that he agrees with Trump."	"But according to Monday's new ABC/Post poll, six in 10 Republicans say they agree with Trump on immigration issues."	-0.678279653	0.711111111	0.961202189	0.429868937
Hughes was charged with six vuruşta for race three and four isabetsiz found.	Hughes was charged with three runs on six hits and a walk with four strikeouts.	-0.488102749	0.785714286	0.966728322	0.5625
"What has been tackled short period I; planning for 15 days a week, and on time."	"1. They should include what they have covered, what are the incomplete subjects in their plan and they should plan their days, weeks and 15-day periods."	-0.682706222	0.651162791	0.923951151	0.133333333
"9) Ailenize and arkadaşlarınıza ayırın time,"	"9) Spare time for your family and your friends,"	-0.878896116	0.8	0.933686791	0.454545455
"The Federal Open Market Committee, the policy of constructive does not have the right to vote is a member, and Lacker who is under pressure to raise the rate, for example, referring to the decisions of the 1998-99."	"Lacker, a voting member of the policymaking Federal Open Market Committee who has been pushing for a rate increase, cited decisions in 1998-99 as an example."	-0.100778839	0.727272727	0.9662945	0.3830144
"""But I think is not increasing it's an excuse for, if they were looking for global market will provide enough for them to wait a little bit longer, increasing uncertainty surrounding the motive,"" he said."	"""But I think if they were looking for an excuse not to raise the rate, the increased uncertainty surrounding the global marketplace is enough to provide them with justification to wait further,"" she said."	-0.108994129	0.8	0.982254165	0.641049978
"In particular, the hotel öğrenildi as preferred by foreigners and officers of the United Nations (UN)."	It was learned that the aforementioned hotel is preferred especially by foreigners and United Nations (UN) officials.	0.18061099	0.787878788	0.956798451	0.6
His wife in the future would not be very romantic to be moved to the same corridor with you?	Wouldn't it be romantic if your future spouse happened to move into the same hall as you?	-0.2716637	0.810810811	0.934991987	0.399465044
To sleep or study in a way that people do not make noise.	You shouldn't make noise that keeps people from sleeping or studying.	-0.752387751	0.72	0.95597564	0.427366652
"People to sleep, or the noise in a way that would discourage them from working class you do not."	You shouldn't make noise that keeps people from sleeping or studying.	-0.846061704	0.64516129	0.959773366	0.207858845
"Small bags had already appeared on our face, but this time with reduced cases of large handle bags."	Small bags already existed but they appeared before us in minimised versions of big shoulder bags.	0.160688685	0.882352941	0.956475971	0.394458086
Very culinary yiyorum Stresliyken	I eat too much under stress	-0.51478902	0.8	0.779087815	0
"I'm a cheat, they do actually mine."	They obviously believe I'm a cheat.	-0.620448143	0.933333333	0.926870842	0.486750489
Give us the message from WhatsApp atın	Message us on WhatsApp	0.268420213	0.727272727	0.864164037	0.236183276
"""Simply put, the labor market and inflation will be the first and the most important thing is that"" simsar firm Stifel Nicolaus & Co Lindsey M. Piegza, the chief economist said."	"""Obviously the labor market and inflation is going to be first and foremost the most important thing they watch,"" said Lindsey M. Piegza, chief economist at brokerage firm Stifel Nicolaus & Co."	0.165595377	0.786885246	0.984561761	0.783783784
"""Frankly the most important thing they will be the first and labor market and inflation"" trading firm Stifel Nicolaus & Co's chief economist Lindsey M. Piegza said."	"""Obviously the labor market and inflation is going to be first and foremost the most important thing they watch,"" said Lindsey M. Piegza, chief economist at brokerage firm Stifel Nicolaus & Co."	-0.007162864	0.793103448	0.986487646	0.72972973
"Producer City Weed also spoke to The Hollywood Reporter, and the final and finishing Britten parkuru reason even though the first contestants will not receive any awards."	"Executive producer Kent Weed sat down with The Hollywood Reporter to discuss the finale and why, despite Britten being the first ever competitor to finish the course, won't be awarded any prize money."	-0.313471631	0.754098361	0.974730243	0.351351351
Terrorists burned school in Diyarbakir	Terrorists burned a school in Diyarbakır	1.203566764	0.909090909	0.973732295	0.666666667
Not the closest the other person?	The next closest in enthusiasm?	-0.79296971	0.909090909	0.866179936	0.282160575
Enthusiasm nearest other people?	The next closest in enthusiasm?	-0.424744247	0.666666667	0.858218332	0.166666667
"Over the past week, a CNN/ORC poll, 67 percent of Republicans Trump a candidate is ""enthusiastic"" or ""satisfied"" said that they would be."	"In a CNN/ORC poll last week, 67 percent of Republicans said they would be either ""enthusiastic"" or ""satisfied"" if Trump were the nominee."	-0.012266936	0.75	0.987242796	0.766221204
Sindirim sisteminizin healthy for it to work.	"To do this, your digestive system should work healthily."	-0.784154389	0.75	0.942553258	0.181818182
"They say, but the impact they have strengthened the law."	They repeatedly say coup but they are strengthening the law of the coup.	-0.468591963	0.695652174	0.963495368	0.571428571
"Some two weeks ago, only a January transfer targets set by the comments of the boss of the Rangers, despite signing from Mark Warburton, the Ibrox team, insisted that he did not want to undermine the union."	"Despite comments just a couple of weeks ago suggesting that he had identified some January transfer targets, Rangers boss Mark Warburton is wary of a signing spree, insisting he doesn't want to disrupt the Ibrox squad's unity."	-0.177348688	0.684210526	0.978838612	0.547619048
"Candidates for the Democratic candidates or the candidates of their own parties, some of the main karakteristiklerde among primary voters is good spins."	"The Democratic candidates, or potential candidates, perform well on some key characteristics among their party's primary voters."	-0.719181012	0.780487805	0.971131679	0.432962848
"You come to Samandıra,"	You should also come to Samandıra	0.673529482	0.8	0.908161968	0.666666667
"Working class; students get taste, not only for him, he felt compelled to do, and that is why it is usually always left to the most recent study, but it is; regular, become a habit for students who complete a task that has become what it is and will be held at the time, and the always within a plan."	Revision is the study that students do not like; they do it because they feel obliged to do it; and therefore they always postpone it to the last moment; but it becomes completely a duty for the students that do it regularly and make it a habit; and there is always a plan for what and when things need to be done.	-0.509882171	0.672131148	0.968927816	0.507024829
"Neighborhood residents Altunç Sure, ""My son was wounded, but we can not go home because the gunshots."	"One of the residents of the neighbourhood, Emin Altunç, said, ""My son was wounded, but we couldn't leave our home because of the gunshots."""	0.016755143	0.714285714	0.972923689	0.5
"The statement said, ""the MHP as stated in the press statement by the Bureau itself has previously admitted to a health check planned within the framework of the hospital."""	"It was said in the statement that, ""As stated in the explanation from the MHP Press Office, he was admitted to our hospital for a previously planned health check."""	-0.151760797	0.724137931	0.969236185	0.588235294
"The news agency did not exceed this description of the English language services, company officials, however, reported that the ban was to go abroad."	"The news agency's English service did not report that detail, but did say leaders of the company have been banned from travelling abroad."	0.016606934	0.791666667	0.969406228	0.462980539
"""A Love Story"" exhibition, open until January 31."	"The exhibition, called ""A Tale of Love"", is open until January 31."	0.490363959	0.7	0.969706914	0.647058824
"""To search,"" he said."	"He said, ""We won't stop chasing it""."	-0.687702617	0.666666667	0.889349677	0.416666667
"Then the president and chief executive Meg Whitman, HP, who's going to leave the unit, ""This restructuring activities New Hewlett Packard company to provide more competitive and sustainable cost structure,"" he said."	"""These restructuring activities will enable a more competitive, sustainable cost structure for the new Hewlett Packard Enterprise,"" said Meg Whitman, the HP chairman and chief executive who will head the unit after the split."	0.213405694	0.746268657	0.98233115	0.65
"Canadian singer Celine Dion's husband Rene Angelil born to, lost their lives."	"René Angélil, the husband of Canadian singer Celine Dion, has passed away."	-0.477446337	0.72	0.953001509	0.466666667
"Speaking at the meeting relating to the combination of global companies within yıldız holding, yıldız holding, Murat ülker Chairman of the Board of Directors, ""our goal from the beginning was of being a global company,"" he said, and added:"	"Speaking at a meeting related to the merger of the global companies within Yıldız Holding, Murat Ülker, Yıldız Holding's Chairman, said, ""To be a global company was our target from the beginning"" and added:"	0.543999196	0.756756757	0.990845305	0.634118232
"If Fed jeapordised decisions in this direction, ""'ll't panicked financial markets to calm the issue will have to take a long year."""	"If Fed policymakers did, ""they would have to go to great lengths in their policy statement to hold financial markets' hands so they don't panic."""	-0.263619222	0.734693878	0.951316314	0.387096774
"Dating back to The main outcome of last month in the Lancet medical journal editorial PHE """" exceptionally rotten at the core of the target."	"An editorial in the Lancet medical journal last month attacked the ""extraordinarily flimsy foundation"" on which PHE based its main conclusion."	-0.369689426	0.666666667	0.960281543	0.51478986
"Took place at every level of 3.6 per cent in the second quarter of the year 2015, according to the Fed, this situation is the permanent, although expected by the third quarter and stands at 1.5 per cent."	"Even though the second quarter of 2015 was at 3.6 percent, few expect that to last, with the third quarter tracking at just 1.5 percent, according to the Atlanta Fed."	-0.21171985	0.722222222	0.977340628	0.464904919
103. provision has yemini of the president.	There is a President's oath in article 103.	-0.623071317	0.75	0.919119258	0.1
"Bullet casings and gun seized in events, the core system, central database that light, compared with the data found in ballistic studies so that when the bullet casings and ballistics experts examine the problems they face being destroyed, he said."	"Explaining that the system provides a comparison of the ballistic examinations of guns, bullets and casings with the data in the central database, Işık stated that the problems for ballistic specialists when examining casings and bullets were therefore eliminated."	-0.252301529	0.658227848	0.980603697	0.487699551
... to continue the fight until the evil is convinced that	Keep going until there is no danger of their evil...	-0.178005795	0.7	0.834154832	0.363636364
The police in the offing: 30 detention	Police at the door: 30 detentions	0.299218461	0.923076923	0.932822532	0.3715191
"""Re-negotiation it was a stalemate"" and that ""Britain re-negotiations didn't get anything that will benefit from."""	"""The renegotiation was a fix"" and ""Britain got nothing of value out of the renegotiation."""	0.440888296	0.588235294	0.912114753	0.407176838
The letter writer Turkey 25	A letter to Turkey from 25 authors	-0.354867911	0.833333333	0.825284195	0.428571429
Fashion weeks led to the popularization of the current mini bag.	Fashion weeks led to the popularization of the mini-bag trend.	1.263195826	1	0.987536523	0.747082404
An Avon lady hand in hand to win an award was presented to a vote of the people first names awards in 2015.	"In Elele AVON Women's Awards 2015, the award winners were firstly presented by popular vote."	-0.234704507	0.666666667	0.933662275	0.23884377
Tatilini semesterjust students how to assess it? We asked the question to educational expert student coach Murat intellectuals.	"How should students use the mid-term break? - we asked this question to educational specialist and student coach, Murat Aydın."	-0.364411016	0.789473684	0.970213035	0.47826087
I think he was running from the aliens.	I suppose he was escaping from the aliens.	1.313942484	1	0.984261133	0.777777778
"To the PKK, the separatist terrorist group is not a bad thing, even a schoolboy söyleyemedin, sprinkle dust kondurmadın."	"You couldn't say anything unfavourable, even one sentence against this separatist terror organization, the PKK; they are considered above blame."	-0.620306995	0.75	0.938504642	0.28
"On the counter, the price drop was reliant on the bread of trades. because of competition from $ 1 They have to implement now."	"Bakers, confident about the quality of their bread, did not decrease their prices. They have to implement 1 TL due to competition."	-0.342731756	0.711111111	0.951389234	0.444124022
Inherent in both Fascinated.	Both admire them inwardly.	-0.077221862	0.75	0.844488848	0.2
"Dwindling rental if they come up again to the subcontractors work times Bağdadioğlu said new challenges to overcome, he said, ""Special developments related to the employment offices for this reason, follow with,"" he added."	"Adding that if labour for hire is added to the agenda again on this occasion there will be matters much more problematic than sub-contracted labour, Bağdadioğlu said, ""We will watch the developments related to private employment agencies with much concern""."	-0.555770803	0.666666667	0.967612692	0.444444444
And when they feel comfortable with each other very good side by side.	They do feel nice and comfortable with each other.	0.073916953	0.727272727	0.961192515	0.402192028
"17, which lists both the social sciences and History Department faculty members and many students took the course taught in both."	"Both taught in the Division of Social Sciences and History, which lists 17 faculty members, and many students took courses from both."	-0.095381654	0.697674419	0.988094967	0.68
"Karl Stefanovic and Lisa Wilkinson in order to topple the leadership of the liberals, he made the moves to Canberra for today has not succeeded in achieving a rating increase."	Karl Stefanovic and Lisa Wilkinson's dash to Canberra to cover the aftermath of the Liberal leadership spill has failed to generate much of a ratings boost for Today.	0.19193008	0.711864407	0.979372241	0.498937059
By karl stefanovic and lisa wilkinson in an effort to overthrow the leadership of the liberals for the move to canberra for the day failed to provide an increase in ratings.	Karl Stefanovic and Lisa Wilkinson's dash to Canberra to cover the aftermath of the Liberal leadership spill has failed to generate much of a ratings boost for Today.	-0.23492248	0.8	0.975190347	0.374202794
This is the third in the past nine round would only say that quality.	It was only his third quality start in his past nine outings.	-0.190645923	0.846153846	0.910753223	0.461679033
"The US central bank of the Fed raise interest rates in the economy and financial assets in response to aggression, usually without all the time has been key."	"The Federal Reserve's aggressiveness in raising rates is often, though not always, a determinant in how the economy and financial assets respond."	0.078541864	0.745098039	0.968584264	0.362747812
"Scholars Initiative for Peace, on January 11, was found in Ankara and the government to call for peace and negotiations simultaneously with the statement that they held in Istanbul, ""We do not have a partner in this crime,"" he titled a statement."	"The Initiative of Academics for Peace called for peace and discussion from the government with simultaneous statements in Ankara and Istanbul on January 11; and it published a declaration under the title, ""We are not party to this crime""."	0.005598254	0.765432099	0.982599616	0.547721063
That cartoon is actually 4 frames cause different reactions in social media is a part of a column.	"Having stirred up different reactions on social media, the cartoon is part of a column consisting of 4 frames."	0.001975722	0.702702703	0.962974015	0.619047619
Today you will rest in the garden	Bahçeli will take a rest today	-0.774493077	0.769230769	0.899802501	0.282160575
"Saudi Press Agency, operated by the government had set up an Arabic version of the edict of the case, the only side to be blamed on the Binladin Group olduğu belirtildi."	"An Arabic version of the decree, carried by the state-run Saudi Press Agency, said the Binladin Group was partly to blame for the collapse."	-0.028809023	0.714285714	0.979105947	0.48583667
"Run by the state Saudi Press Agency said one fermanın from Arabic, the entity is not only the case where the Binladin Group, the statement said."	"An Arabic version of the decree, carried by the state-run Saudi Press Agency, said the Binladin Group was partly to blame for the collapse."	-0.375561366	0.705882353	0.976578643	0.515890503
"The meeting is one of 12 people in an e-cigarette maker Philip Morris International cigarette company funds, but that it was previously reported that they reportedly received from the Fund, adding that it is not."	"One of the 12 people at the meeting declared funding from an e-cigarette manufacturer but not the funding he was reported to have received previously from the tobacco company Philip Morris International, they added."	-0.222112912	0.732394366	0.97284126	0.55180969
"Mixed fedex's revenue, will fall'da financial outlook 2016"	"FedEx earnings mixed, lowers fiscal 2016 outlook"	-0.268657373	0.823529412	0.946855753	0.292050294
Daughter Angela Merkel 'gave its name to	"He gave the name ""Angela Merkel"" to his daughter"	-0.406183507	0.625	0.891141809	0.363636364
Great news for Seven former Packed to the Rafters's star Erik Thomson-800 words came as the beginning of the cut.	The big news for Seven was the stunning debut of 800 Words with former Packed to the Rafters star Erik Thomson.	-0.232722417	0.744186047	0.984632056	0.590909091
"At times, it is a main space Orbiter."	Sometimes a crashing space shuttle.	-0.499743093	0.769230769	0.894569726	0.25670856
"The Home Sweet Home, at 25, at home, there are 17 stores and a total of 6,500 square metres of sales area, and the number of employees to 320 people."	"Home Sweet Home has 25 stores in Turkey and 17 stores abroad, its total retail area is 6500 square metres, and its number of employees is around 320."	0.434340149	0.779661017	0.965736745	0.538708601
"Izmir Police Department police teams due to some people's bank card information was taken money from accounts outside the copied data, work has started on the complaint which it is incurred."	Police squads from the İzmir Police Department started an operation after complaints that some people's bank cards were stolen and cash was withdrawn and money was spent from their accounts.	0.194125178	0.73015873	0.9640659	0.381636557
"What are the benefits of cooking, steam?"	What are the benefits of steam cooking?	0.251428266	1	0.985046423	0.882496903
In the aftermath of the death of Barry Van Treese itself is enough to make a criminal partner.	His actions after the murder of Barry Van Treese would make him guilty of being an accessory after the fact.	0.065532299	0.894736842	0.953002922	0.428571429
Experts are conducted in e-cigarettes at Public Health England	Experts criticise Public Health England e-cigarettes review	-0.285566582	0.777777778	0.910341109	0.536769495
